Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,SD_EN,SD_PCODE
0.50768547018,0.01448604447,Gubio 1,NG008009006,Gubio 1,Gubio Town  I,,Gubio,NG008009,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.40159417924,0.00930650196,Gubio 2,NG008009007,Gubio 2,Gubio Town II,,Gubio,NG008009,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.28763234625,0.00393513205,Gude,NG002015004,Gude,Gude,,Mubi South,NG002015,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa North,NG00202
0.98927755781,0.03442335603,Gudi Dozi,NG036004004,Gudi Dozi,Gudi / Dozi / Godo Woli,,Fika,NG036004,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe South,NG03603
0.78171475044,0.03424231894,Gudu Mboi,NG002018003,Gudu Mboi,Gudu Mboi,,Song,NG002018,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa Central,NG00201
0.26006995668,0.00359039187,Guduf A&B,NG008011005,Guduf A&B,Guduf Nagadiyo,,Gwoza,NG008011,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
1.04989952345,0.05503314224,Gudumbali East,NG008010002,Gudumbali East,Gudumbali East,,Guzamala,NG008010,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.86230809317,0.03991627015,Gudumbali West,NG008010003,Gudumbali West,Gudumbali West,,Guzamala,NG008010,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.99167050810,0.05353575527,Gujba,NG036007006,Gujba,Gujba,,Gujba,NG036007,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe East,NG03601
0.72578561315,0.02798564554,Guji Metalari,NG036002005,Guji Metalari,Guji / Metalari,,Bursari,NG036002,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe East,NG03601
0.53696853146,0.01278103594,Gulak,NG002010003,Gulak,Gulak,,Madagali,NG002010,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa North,NG00202
0.34818554688,0.00764872275,Gulani,NG036008008,Gulani,Gulani,,Gulani,NG036008,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe East,NG03601
0.95923524060,0.03864099055,Gulumba,NG008003004,Gulumba,Gulumba / Jukkuri / Batra,,Bama,NG008003,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.63012920252,0.01862309231,Gumna,NG008022004,Gumna,Gumna,,Marte,NG008022,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.80133611159,0.03180636180,Gumsa,NG036006007,Gumsa,Gumsa,,Geidam,NG036006,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe East,NG03601
0.95831127227,0.02794132382,Gumshi,NG036017002,Gumshi,Gumshi,,Yusufari,NG036017,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe North,NG03602
1.06794526159,0.05463495122,Gumsuri,NG008007006,Gumsuri,Gumsuri/Misakurbudu,,Damboa,NG008007,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
2.07574669859,0.15567093366,Gumti,NG002019003,Gumti,Gumti,,Toungo,NG002019,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.88736527796,0.04059204151,Gunda,NG008005002,Gunda,Dadin Kowa,,Biu,NG008005,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.37286618994,0.00608469904,Gundo,NG002017003,Gundo,Gundo,,Shelleng,NG002017,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.92328615301,0.03235425251,Gur,NG008005005,Gur,Gur,,Biu,NG008005,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
1.02354006175,0.04033331195,Gurin,NG002002004,Gurin,Gurin,,Fufore,NG002002,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa Central,NG00201
0.95117166255,0.04818918628,Gurumpawo,NG002003005,Gurumpawo,Gurum,,Ganye,NG002003,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.21644004336,0.00185572750,Guwal,NG008018003,Guwal,Guwal,,Kwaya Kusar,NG008018,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.37693319708,0.00801492868,Guwo,NG008014007,Guwo,Guwo,,Kaga,NG008014,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.10370081793,0.00060080596,Guworam,NG008010004,Guworam,Guworam,,Guzamala,NG008010,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.73011808163,0.03253311971,Guya,NG036017003,Guya,Guya,,Yusufari,NG036017,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe North,NG03602
0.76843361163,0.02678745687,Guyaku,NG002004008,Guyaku,Guyaku,,Gombi,NG002004,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa Central,NG00201
0.32855979917,0.00574286072,Guyuk,NG002006007,Guyuk,Guyuk,,Guyuk,NG002006,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.32090952425,0.00665850583,Guzamala East,NG008010005,Guzamala East,Guzamala East,,Guzamala,NG008010,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.41600754785,0.00776351281,Guzamala West,NG008010006,Guzamala West,Guzamala West,,Guzamala,NG008010,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno North,NG00802
0.15601883316,0.00110288778,Gwadabawa,NG002020004,Gwadabawa,Gwadabawa,,Yola North,NG002020,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa Central,NG00201
0.65555179901,0.01447473744,Gwalasho,NG008027005,Gwalasho,Gwalasho,,Shani,NG008027,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.59939345868,0.01429617353,Gwamba,NG002001007,Gwamba,Gwamba,,Demsa,NG002001,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.29861758877,0.00351888297,Gwandi,NG008018001,Gwandi,Gondi,,Kwaya Kusar,NG008018,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.68239550309,0.02295961217,Gwangang Chata,NG008012003,Gwangang Chata,Gwanzang  Pusda,,Hawul,NG008012,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.04895738908,0.00011076568,Gwange I,NG008021006,Gwange I,Gwange  I,,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.05920750514,0.00013256236,Gwange II,NG008021007,Gwange II,Gwange  II,,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.08086484766,0.00022998841,Gwange III,NG008021008,Gwange III,Gwange  III,,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.43194588284,0.00482553658,Gwapopolok,NG002017004,Gwapopolok,Gwapopolok,,Shelleng,NG002017,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.49592407423,0.00958921054,Gwaskara,NG008027006,Gwaskara,Gwaskara,,Shani,NG008027,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.68348212658,0.02653130587,Gwio-Kura,NG036001003,Gwio-Kura,Gwio-Kura,,Bade,NG036001,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe North,NG03602
0.40170952309,0.01005725216,Gyawana,NG002009002,Gyawana,Gyawana,,Lamurde,NG002009,Adamawa,NG002,Nigeria,NG,2017/03/31,2019/04/17,,Adamawa South,NG00203
0.97651944666,0.04512475112,Hambagda,NG008011008,Hambagda,Hambagda/ Liman Kara/ New Settlement,,Gwoza,NG008011,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.07386314976,0.00025678088,Hausari,NG008011006,Hausari,Gwoza Town Gadamayo,,Gwoza,NG008011,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.05078777951,0.00008321627,Hausari,NG008021009,Hausari,Hausari/Zango,,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno Central,NG00801
0.13662769915,0.00076898120,Hausari,NG036006008,Hausari,Hausari,,Geidam,NG036006,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe East,NG03601
0.07277003276,0.00017993802,Hausari,NG036013006,Hausari,Hausari,,Nguru,NG036013,Yobe,NG036,Nigeria,NG,2017/03/31,2019/04/17,,Yobe North,NG03602
0.47248120469,0.00919349701,Hausari Tampul,NG008002004,Hausari Tampul,Husara / Tampul,,Askira/Uba,NG008002,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
0.66731535524,0.01663868429,Hausari Zadawa,NG008002013,Hausari Zadawa,Zadawa / Hausari,,Askira/Uba,NG008002,Borno,NG008,Nigeria,NG,2017/03/31,2019/04/17,,Borno South,NG00803
