Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,SD_EN,SD_PCODE
1.95553891453,0.20732596836,Kauru,NG019014,Kauru,,,Kaduna,NG019,Nigeria,NG,2016-11-29,2019-04-17,,Kaduna South,NG01903
1.03761573113,0.03179733489,Kazaure,NG018017,Kazaure,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa North-West,NG01802
1.64620770152,0.09562946362,Keana,NG026005,Keana,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa South,NG02601
2.31446856488,0.21786411834,Kebbe,NG034010,Kebbe,,,Sokoto,NG034,Nigeria,NG,2016-11-29,2019-04-17,,Sokoto South,NG03403
0.38613289609,0.00927081298,Keffi,NG026006,Keffi,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa West,NG02603
0.99028493586,0.04555290543,Khana,NG033014,Khana,,,Rivers,NG033,Nigeria,NG,2016-11-29,2019-04-17,,Rivers South East,NG03302
0.82232209736,0.03617307917,Kibiya,NG020023,Kibiya,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano South,NG02001
1.89800728261,0.18732262756,Kirfi,NG005013,Kirfi,,,Bauchi,NG005,Nigeria,NG,2016-11-29,2019-04-17,,Bauchi South,NG00503
1.32826260440,0.06902945529,Kiri Kasamma,NG018018,Kiri Kasamma,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa North-East,NG01801
1.66811733032,0.07496912606,Kiru,NG020024,Kiru,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano South,NG02001
1.60726899355,0.08557022759,Kiyawa,NG018019,Kiyawa,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa South-West,NG01803
1.83204848329,0.12258322829,Kogi,NG023011,Kogi,,,Kogi,NG023,Nigeria,NG,2016-11-29,2019-04-17,,Kogi West,NG02303
1.90131121432,0.11128124055,Koko/Besse,NG022013,Koko/Besse,,,Kebbi,NG022,Nigeria,NG,2016-11-29,2019-04-17,,Kebbi Central,NG02201
2.32973649754,0.20997967800,Kokona,NG026007,Kokona,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa West,NG02603
0.79816852543,0.02858594465,Kolokuma/Opokuma,NG006003,Kolokuma/Opokuma,,,Bayelsa,NG006,Nigeria,NG,2016-11-29,2019-04-17,,Bayelsa Central,NG00601
5.28505084575,0.49395930407,Konduga,NG008016,Konduga,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno Central,NG00801
1.86777090034,0.13788555558,Konshisha,NG007010,Konshisha,,,Benue,NG007,Nigeria,NG,2016-11-29,2019-04-17,,Benue North East,NG00701
1.84932868300,0.14632850555,Kontagora,NG027011,Kontagora,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger North,NG02702
0.40218262765,0.00666933377,Kosofe,NG025013,Kosofe,,,Lagos,NG025,Nigeria,NG,2016-11-29,2019-04-17,,Lagos East,NG02503
